"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2023-03-25","true","1","B08BHHSB6M","5","Quiero dejarles una reseña, aunque no suelo hacerlo pero considero que es oportuno para ayudar a posibles compradores, que al igual que yo estén pensando en adquirir este producto y duden.El producto cumple tal cual con lo que dice, me vino sin casi daños estéticos, un simple golpecito arriba que ni se nota en lo absoluto. Me vino con 91% del estado de la batería, lo cual no me agrada ni me decepciona, ya que te aseguran un mínimo 90%.El cargador es genérico, ya compré uno original y de carga rápida y va de maravilla, aunque tengo que añadir que se calienta más de lo que me gustaría y desconozco el por qué.El dispositivo en general va 10/10 y estoy muy contento con mi compra.Un detalle el cual me hizo pensar en devolverlo es que me vino con el audio ¿se podría decir dañado? No es nada para alarmarse pero se escucha bajo y de mala calidad. Si es algo que me molesta, porque fuera de eso el producto sería un 100/100, no creo cambiarlo, ya que vivo en Uruguay y cambiarlo (aunque tiene una buena garantía de cambio) sería algo negativo y por lo que no quiero pasar. Así que fuera de eso me quedo con mi compra y más que satisfecho.Si estás pensando en adquirir el producto te aseguro que no te vas a arrepentir, da miedo comprar al principio pero vale la pena la espera. Espero ayudarlos con mi reseña.","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","6 people found this helpful","Estado del dispositivo","https://www.amazon.com/gp/customer-reviews/R1F48MQQXAB1AO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on March 25, 2023","Size: 256GBColor: GoldService Provider: UnlockedProduct grade: Renewed Premium"
"United States",,"2022-02-03","true","2","B08BHHSB6M","4","I declined to leave a unboxing video & picture on this one as its the 2nd device I've bought from this store/seller in a month, technically 3 in total from one of their affiliates. So , I'll start with delivery & packaging , in my profession ( CyberSec/OSINT  ) this is very important detail, it will typically tell the rest of your experience. They did great with shipping times, the got it to me early which is always welcomed and as promised came with a very generic charging block & cable and the device that's about it and it all works great!.  I will also say their after market packaging they used was actually very professional and looked great, sealed with care . There was some paperwork on the side I highly suggest reading as its about your warranty and thus is important.  Remember you pay for what you get, especially with Iphones. I use Android and IOS in business,  I bought a brand new 2021 NEW flagship android device for $320 less than this product but what I paid extra for was that Amazon renewed guarantee which not only promises your device to come with certain prerequisites like over 90% battery life etc BUT it comes with a one year warranty as well as a great return policy which is also a year. I saw alot of mixed reviews , and the details is where you need to look . This company/store did a great job. With its presentation,  Now I'm not going to go to deep I go i to a deep review on the device as a iphone is a iphone,  is a iphone. I have owned every model ,this was a replacement for me aside from business use. This would have been 5 stars all around given the check star system Amazon has in place However,  for example the battery I gave 4 stars, it did come with  90% battery in its bank but like most Iphones unless it's a new battery and has been conditioned ( charged ) properly the battery life is not great on any pro model unless it's the max versions but it will do most great and  as expected. The forest green was a color I loved and was out of stock when I bought it new so that was a nice  addition vs the green iphone 12 pro I have which a total different shade of green. So I bought a bundle , a recommended case and some tempered glass screen protectors,  I will say as they are sufficient,  I made a common mistake as I do like to pay for convienance these bundles are not always the most cost effective route. Do yourself a favor & look around, so  my total was about $730 , the phone itself was priced decent enough but remember that tax is going go be a least $50 added to the device. The phone came 100% Factory Unlocked as advertised and in great shape , the only blemish which I wasn't heartbroken about However for that kind of money and knowing how inexpensive it is to fix the glass as I've done it many of times, there was a decent scratch at the top near the top speaker HOWEVER, I am a tad OCD about things like that especially when spending  that kind of money and having actually bought 3 devices Factory Unlocked I have a high standard. I think most people wont take a 2nd look at it. Just a side note, the resell and value system of used Iphones especially are still very off in 2022 considering for another $150 I could've just bought the iPhone 13 NEW. That said, that has nothing to do with this seller or store just a observation as my business is in all tech. At the end of the day,I can o my fairly go off of what I git & my experience.  I am highly impressed and happy with this purchase. This store/seller took great care in its delivery time, its great packaging, everything came as advertised and product for all Intensive purposes is basically NEW. After 3 devices both IOS & Android , I would not hesitate to do business with this company again. Don't second guess these guys , in reality this was a 5 star sale . They did great business and as I said I was willing to pay more as yes you can find this de ice cheaper all day BUT you are gambling , when it co es to stuff like this I can't stress enough you get what you pay for. The device was perfect, again great presentation,  Factory unlocked,ive tested it on over 20 GSM carriers thus far and I paid for a great product but a peace of mind for a full year , it has a great warranty,  and I have no plans of a return but that option is there if you want it . They did great, I am happy and would buy again!","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","179 people found this helpful","Great experience, Read for a honest unbiased  however just a few things people should know","https://www.amazon.com/gp/customer-reviews/R3U6LFKDTCOJYW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on February 3, 2022","Size: 256GBColor: Midnight GreenService Provider: UnlockedProduct grade: Renewed Premium"
"United States",,"2023-04-09","true","3","B08BHHSB6M","5","I really liked the phone, initially I was skeptical specially since it was Amazon renewed and it was my first time trying. The phone was Amazon renewed premium. The phone came clean and had 0 scratches. It came with 100% battery and the buttons worked well. So far the phone works really well and I have not gotten or seen any sort of issues or problems.","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","","Really good product! And real review!","https://www.amazon.com/gp/customer-reviews/R115LVPO63U6BL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on April 9, 2023","Size: 256GBColor: SilverService Provider: UnlockedProduct grade: Renewed Premium"
"United States",,"2023-04-03","true","4","B08BHHSB6M","4","I received the phone very fast. Its in good working condition minor scratches around the edge. With a new case they won't be visible.  My only problem was the phone wasn't cleaned properly at all, it was very dirty!","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","2 people found this helpful","Good value for money","https://www.amazon.com/gp/customer-reviews/RBDKAZB0SII0O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on April 3, 2023","Size: 256GBColor: Space GrayService Provider: UnlockedProduct grade: Renewed"
"United States",,"2023-01-04","true","5","B08BHHSB6M","5","This was was an upgrade purchase for my daughter. We don't believe in buying $1,000+ phones for teenagers. Amazon's Refurbished was a welcomed gift! The phone comes well packaged and is in great shape. It works like new, as promised! But, it took us MANY HOURS to finally get this phone set-up and info transfered over. Here are some learned tips for set-up: First, fully charge the new phone and your old phone. If possible, leave them both plugged in during the process. We learned that your old phone needs to be at least 50% charged before it will even start the transfer process. Don't bother backing up your old phone to the iCloud beforehand. It's much faster to wait and do that with the new phone after all is said and done. Your first step, go into the new phone and in Settings, go into General, then update the software to the latest version. We had many issues with the process stalling and then we would finally get an error message? This wasted a lot of time! It's so much quicker to update that software first, though it will take awhile (not lying). Once the software on the new phone is updated, then start the transfer process with your old phone. It will take a while (maybe 30 minutes). Once the whole thing transfers, your new phone will work and everything on the screen will look like your old phone. Here's the one thing we did not think about, you will still need a new SIM card from your Carrier. They are free. Simply go to your Carrier's store and explain that you bought a used phone and they will give you one. After everything is all set-up, call your carrier with your old phone and they will talk you through the process of installing the new SIM into the new phone. They will even test it out with you online until it works. Amazon Refurbished is guarranteed and definitally cheaper than other sites. The phone arrives fast too! After all is said and done, wipe the old phone to factory settings and remove the SIM card. Then you are all set! Newer phone at a cheaper price,  it's guarranteed, and my daughter is totally happy with it!","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","51 people found this helpful","Great iPhones, But Set-up Took A Long Time!","https://www.amazon.com/gp/customer-reviews/R1U9BJRXG8PB7P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on January 4, 2023","Size: 256GBColor: Space GrayService Provider: UnlockedProduct grade: Renewed"
"United States",,"2023-03-29","true","6","B08BHHSB6M","5","If you’re anything like me and hate buying a brand new iPhone every year, then I would recommend buying Amazon refurbished. I gotta say, I was a little skeptical that Amazon would give me a decent refurbished phone. I was wrong. My iPhone 11 Pro came and it was in great condition. 86% battery health and the phone has little to no scratches. Looking forward to purchasing a 12 pro refurbished from Amazon next year.","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","6 people found this helpful","Worth it","https://www.amazon.com/gp/customer-reviews/R6GFNO7KHBLFB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on March 29, 2023","Size: 64GBColor: Midnight GreenService Provider: UnlockedProduct grade: Renewed"
"United States",,"2023-03-11","true","7","B08BHHSB6M","3","These phones are definitely in perfect cosmetic condition, but I think they are because the original owners got rid of them soon after they started to malfunction. I am now on my second iPhone 11 Pro and just found out the camera system is defective.The first phone I got had a blown out speaker and a weird cellular network issue (it keep disconnecting). I thought it was okay that a single used device might have an issue, so I returned it and got another. The new one had better speakers and no network issue, but the telephoto lens doesn't work. And the wide angle lens doesn't activate always.The unfortunate thing is that I sent the first phone back immediately, and unlike other Amazon returns, it can take up to 30 days for the return to be processed. So, I am stuck with a $500 charge on my credit card until they get around to processing the refund.I have bought multiple used iPhones from real people and had a good experience with them. But it seems like Amazon is offloading bad iPhones (although cosmetically perfect and with 90%+ battery) that are either not fully tested, or have defects they hope buyers won't notice.I am going to see about getting a third phone, but if that one is also problematic, then Amazon will get 1 star (because I cannot do zero stars). There are plenty of other places that sell used iPhones, and I am sure some of them have better testing procedures and better return policies.P.S. - The phone itself is great. Great screen, good battery life, etc. Quite a deal in 2023 if you can get a fully functional one for less than half the price of a new iPhone.","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","10 people found this helpful","Buyer beware (review of Amazon, not of the phone)","https://www.amazon.com/gp/customer-reviews/R2ZF56NZ76GP4S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on March 11, 2023","Size: 256GBColor: Space GrayService Provider: UnlockedProduct grade: Renewed Premium"
"United States",,"2023-03-31","true","8","B08BHHSB6M","5","First can we all stop and marvel at this lovely green?!?! Yessss, I’m that type. I buy based off looks first then I look at the functionality next. Overall I’m pleased with the used phone, oops I meant refurbished. Haha. Screen works, doesn’t overheat, battery life is excellent, absolutely no scratches or dents and drops. Very pleased. Works like a new iPhone.","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","2 people found this helpful","Won my Heart","https://www.amazon.com/gp/customer-reviews/RPT8O0ZYQG0HV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on March 31, 2023","Size: 64GBColor: Midnight GreenService Provider: AT&TProduct grade: Renewed"
"United States",,"2023-03-29","true","9","B08BHHSB6M","5","When we ordered this phone renewed we expected something used you’d buy off someone in person. But we was wrong! This phone practically looks and acts. Brand new! No issues with battery life! There is a small haze on the screen but it’s not noticeable unless you really look for it! We Recommend if your on a budget for a good phone! 💯❤️☺️","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","2 people found this helpful","This phone was RENEWED?!","https://www.amazon.com/gp/customer-reviews/R2H0ITE9DHO7LE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on March 29, 2023","Size: 64GBColor: Space GrayService Provider: UnlockedProduct grade: Renewed"
"United States",,"2023-03-02","true","10","B08BHHSB6M","5","I have had some spotty experiences recently ordering refurbished phones.  Now, don't get me wrong, my family and I have been utilizing renewed unlocked used phones for the past four years or so from amazon and have had no problem.  Just recently when my phone bit the dust I had two lemon phones from two companies.  Amazon made it right and I got a full refund.  But then I ordered this phone from this seller.  The box and presentation was much more professional, and the phone is amazing.  Looked great (and I only got the acceptable phone, and still it looked very new to me.  I couldn't tell any wear or tear.  Great experience.  Will definitely use this seller again!","https://m.media-amazon.com/images/I/41+U304X2lL._SY88.jpg","https://m.media-amazon.com/images/I/41CC3U07cLL._SY88.jpg","https://m.media-amazon.com/images/I/41vOHhwddYL._SY88.jpg","https://m.media-amazon.com/images/I/51hp59YPxaL._SY88.jpg","https://m.media-amazon.com/images/I/71yxRVH4JlL._SY88.jpg","https://m.media-amazon.com/images/I/810A+XsAsiL._SY88.jpg","https://m.media-amazon.com/images/I/81OF2BDB25L._SY88.jpg","https://m.media-amazon.com/images/I/81Qn3OkHX0L._SY88.jpg","https://m.media-amazon.com/images/I/81oLN6vHZdL._SY88.jpg","7 people found this helpful","This is my favorite iphone ever!","https://www.amazon.com/gp/customer-reviews/R3675Z875QGTLC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BHHSB6M","Reviewed in the United States on March 2, 2023","Size: 256GBColor: Space GrayService Provider: UnlockedProduct grade: Renewed"
