"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2020-11-09","true","1","B08L5P7DYY","4","Think this is the one great phone in world","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"77 people found this helpful","Think this is the one great phone in world","https://www.amazon.com/gp/customer-reviews/R1R0ND0HW4YQKG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on November 9, 2020","Size: 128GBColor: Black"
"United States",,"2021-03-20","true","2","B08L5P7DYY","5","The phone is great but, very limited use with contracted service provider. Little more than a paperweight currently.","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"15 people found this helpful","Nice phone","https://www.amazon.com/gp/customer-reviews/R3GOYAB18A0AUA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on March 20, 2021","Size: 256GBColor: Green"
"United States",,"2021-01-16","true","3","B08L5P7DYY","5","very easy set up love my new phone im coming from an iphone 6s plus so its been a while lol","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"23 people found this helpful","easy set up love it","https://www.amazon.com/gp/customer-reviews/R2SUJTEFB15LDY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on January 16, 2021","Size: 64GBColor: White"
"United States",,"2020-11-12","true","4","B08L5P7DYY","5","The phone is a definite upgrade from last year but I would’ve perferd 120hz refresh over 5G","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"79 people found this helpful","If your into OLED and HDR over iphone 11 u should definitely get this","https://www.amazon.com/gp/customer-reviews/RK3RXYPO69CUA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on November 12, 2020","Size: 128GBColor: Blue"
"United States",,"2021-01-17","true","5","B08L5P7DYY","5","Excellent phone for the price. It exceeded my expectations.","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"23 people found this helpful","Best phone for the buck.","https://www.amazon.com/gp/customer-reviews/R2OQAQ56R9M6Q7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on January 17, 2021","Size: 256GBColor: Blue"
"United States",,"2022-02-14","true","6","B08L5P7DYY","1","I return this item","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"3 people found this helpful","I return this item","https://www.amazon.com/gp/customer-reviews/R2FMJL35WSVVDN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on February 14, 2022","Size: 256GBColor: Purple"
"United States",,"2021-03-17","true","7","B08L5P7DYY","1","Product was scratched up. Worse claims to have minimum 80% greatly exaggerated. Very visibly USED!","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"34 people found this helpful","Not worth the price.","https://www.amazon.com/gp/customer-reviews/R1PP9Y4XMZHSG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on March 17, 2021","Size: 256GBColor: White"
"United States",,"2023-01-13","false","8","B08L5P7DYY","5","I don't know","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"One person found this helpful","Not let it break the screen","https://www.amazon.com/gp/customer-reviews/R9CE9X7JWDO30/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on January 13, 2023","Size: 128GBColor: Blue"
"United States",,"2022-07-09","false","9","B08L5P7DYY","4","Not very pleased but making do","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"One person found this helpful","No better than old one Slow !","https://www.amazon.com/gp/customer-reviews/R226LX7WZ03710/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on July 9, 2022","Size: 64GBColor: (PRODUCT)RED"
"United States",,"2020-11-17","false","10","B08L5P7DYY","4","I have been using iPhones since I was in seventh grade, my first one was the black and space grey iPhone 5, and gradually through the years Apple has continued to upgrade and better the model. The iPhone 12 includes a ceramic shield that will protect the phone from falls and drops from a few feet, triple lens cameras on the back, improved front cameras, a six inch display, come in a asort of colors, etc. The main strengths for this iPhone are its popularity, large screen, and longer battery life. The iPhone is no doubt one of the most widely used and recognized phones out there to date. A lot of people will just get an iPhone despite the fact that other phones can be just as efficient for much less, but no one wants to feel like the one left out. As the years have passed technology has been advancing and becoming a bigger part of our lives so small screens and low battery life are of extreme inconvenience, but with the iPhone 12’s 6.1 inch screen and long lasting battery life there is no need to worry about it. The large screen makes the overall phone look much more appealing and slick while the long lasting battery life promises to be reliable for those that are constantly using their phones, which most are. The main weaknesses of the iPhone 12 include lack of accessories in the box, pricing, and battery usage. The iPhone 12 will be the first line of phones from Apple that will not include a charger or power brick in its box, the company says that they are doing this to be green and save any ‘unnecessary’ material or resources that it would have taken and people are upset by this as that con  joins up with the pricing weakness. Now with the iPhone 12 already making a sizeable dent to one’s finances, they are not also expected to buy their own cables and power boxes should they want or need any more, and along with that, this iPhone has brought the return of the MagSafe chargers which magnetically attach to the back of the phone and charge it faster and more efficiently, however it would cost the owner about $40.00 just to get the charger. One other feature that dulls out the hype for this phone would be the effects of usage of certain applications like 5G data and the cameras built in zoom features, for these features iw would drain the battery a bit faster and could bring the life of the battery from 10 hours down to 6 or 7. I will always be loyal to my iPhone as it has always been a great tool for me and never failed to assist me bothin work and entertainment, so I would say that the iPhone 12 would probably be a must have.","https://images-na.ssl-images-amazon.com/images/I/71rGsOdMxpL._SY88.jpg",,"32 people found this helpful","The iPhone 12 overall","https://www.amazon.com/gp/customer-reviews/RJPQ6R2TBH04J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08L5P7DYY","Reviewed in the United States on November 17, 2020","Size: 256GBColor: Black"
