"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2023-03-31","true","1","B09LNFRHGN","5","I read all the reviews on this iPhone listing/seller and I knew that I might receive a scratched up iPhone or a stolen iPhone or a bad battery. The other listing available on Amazon for the same specs is priced over $800, that’s way too over my budget, I also considered getting a fresh new green iPhone 13 256GB from Apple Store..but once the 256GB from this seller became available (I refreshed over 2 days haha) I snatched it up, I didn’t double check what condition I would receive because it was only 1 available when I saw it. And I’m so glad I made the purchase! Not one single scratch, not stolen (I looked up the IMEI and found a website to check), battery is 100% and it recognizes my SIM card, same value from buying one straight from Apple Store (if I’m not mistaken with the IMEI screenshot I attached, I think I still have a good half a year warranty with Apple Store!)","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","12 people found this helpful","So glad I took a chance on this seller!","https://www.amazon.com/gp/customer-reviews/R2GKYWPZNXZ7SQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on March 31, 2023","Service Provider: UnlockedColor: GreenSize: 256GB"
"United States","🇺🇸","2023-04-10","true","2","B09LNFRHGN","5","After buying two different renewed iPhones on Amazon, one premium/renewed/excellent, one renewed/excellent, one had screen damage and the other had a bad battery. Not up to the standards stated in both cases. This iPhone however is excellent. Great battery condition, great physical condition, purchased as a standard renewed/excellent condition. No complaints finally with a reseller of iPhones. This reseller was Olympic Wireless out of Miami. I'm sure every reseller has its hits and misses. After experiencing two misses, this was a relief. Thanks to Olympic and Amazon for finally getting it right.","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","","Happy With This iPhone Purchase - Finally","https://www.amazon.com/gp/customer-reviews/R1SQTTM5N3VG58/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on April 10, 2023","Service Provider: UnlockedColor: MidnightSize: 128GB"
"United States","🇺🇸","2023-03-20","true","3","B09LNFRHGN","4","Been considering getting back on the iOS train for a little while. Still prefer the flexibility of Android/pixel phones, but with the rest of the family on iOS, well… anyways:Why I like Amazon Renewed:I will don’t like “the Apple Tax” (stuff is more expensive cuz “the quality” blah blah blah)I don’t “need” the latest device. 1year old devices are pretty good stillRenewed sounded like a good option. Device is in good shape, price was much better than new. They made me happy when delivery showed 5 days, and the device arrived early (in 3days) “under promise, over-deliver” right?)The deviceScreen is perfect, battery has 88% life, functions all check out. Couple scratches on the case (was totally aware before purchasing).All in all a great deal for the price.","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","3 people found this helpful","Impressed with “Amazon renewed” so far","https://www.amazon.com/gp/customer-reviews/R389TX17YIQ3UG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on March 20, 2023","Service Provider: UnlockedColor: BlueSize: 256GB"
"United States","🇺🇸","2023-03-14","true","4","B09LNFRHGN","5","Hello, The phone actually came VERY early. I ordered it on sunday and it came monday, and it was suppose to be here 16th or 20th.the battery life is 99% (it’s good), but i did get it in excellent condition. Everything works good and i transferred my phone just fine, but there were little scratches at my charger place, but no biggy , and the speakers are very loud but kinda sound choppy, but not at the same time. i would say it’s worth the price and i say get it. A heads up is if you are with boost u will need to get a new sims and reactive your phone there and if was about $50, but i transferred my data, messages, photos, etc.","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","9 people found this helpful","Iphone 13!! It’s worth the price","https://www.amazon.com/gp/customer-reviews/R1QXPOIEAHUK3J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on March 14, 2023","Service Provider: UnlockedColor: PinkSize: 128GB"
"United States","🇺🇸","2023-02-17","true","5","B09LNFRHGN","4","Overall I am happy with this purchase EXCEPT for one cosmetic complaint. The iPhone was supposed to be in excellent shape (even though renewed). However there were two ‘scars’ on the product that were clearly visible when viewed from 12” away. As you face the screen the upper left and lower right corners were scuffed as if it had been dropped on a hard, rough surface. I considered returning the phone and asking for replacement, but these two scuffs did not affect performance at all so I kept it . Overall I am satisfied with the purchase (especially since the wallet case completely covers the damaged areas. After using phone for a week it works like it is supposed to and battery is 91% of new capacity so it meets all other claims that were made in the description on Amazon.","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","12 people found this helpful","iPhone 13 (renewed) good but not great","https://www.amazon.com/gp/customer-reviews/R1E99LV5D5BRMK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on February 17, 2023","Service Provider: UnlockedColor: MidnightSize: 256GB"
"United States","🇺🇸","2023-04-06","true","6","B09LNFRHGN","4","Phone came pretty fast, but the battery life is at 87💔. Other than that i love the phone it works pretty well, no complaints.","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","","kinda mid","https://www.amazon.com/gp/customer-reviews/R3642G8JJH3YVU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on April 6, 2023","Service Provider: UnlockedColor: PinkSize: 128GB"
"United States","🇺🇸","2023-02-23","true","7","B09LNFRHGN","4","It is a good phone, for me is fine. O usually buy refurbished to help on the RE-use and since I don’t care a lot for “new” as long as it is useful. However, this one seems to have something that strikes the voice in the phone or WhatsApp calls because I use to speak with my family and I often get “it broke, please repeat” and I know it is not the internet connection because in my old phone I don’t get this problem. This is very annoying for me.","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","7 people found this helpful","Good, but seems there is one issue","https://www.amazon.com/gp/customer-reviews/R3HUIX0N38G1W2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on February 23, 2023","Service Provider: UnlockedColor: MidnightSize: 256GB"
"United States","🇺🇸","2023-03-31","true","8","B09LNFRHGN","5","I bought my husband and I new iPhone from this seller, I would say that the seller shipped our phone faster than I expected. The description of our phone was a precise. I would use this seller again. Thank you","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","","Love my Iphone 13","https://www.amazon.com/gp/customer-reviews/R3S46JTMAYMJF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on March 31, 2023","Service Provider: UnlockedColor: PinkSize: 128GB"
"United States","🇺🇸","2023-04-07","true","9","B09LNFRHGN","5","This phone came in so nice. LOOKS VERY NEW, THANK UUUU. I paid 600 sum for this iPhone 13 and it’s amazing. Battery life is 99%AGAIN THANKS","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","","Battery, Quality, Unlocked","https://www.amazon.com/gp/customer-reviews/RIXXFWBLPPLBZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on April 7, 2023","Service Provider: UnlockedColor: PinkSize: 128GB"
"United States","🇺🇸","2023-03-15","true","10","B09LNFRHGN","5","When looking for a new I was kinda skeptical buying  one from Amazon, the one that I found was a refurbished iPhone 13 blue 128gb I was shocked at how perfect the phone was. There was no scratches or dents the battery life was still at 100% it even arrived 3 days early. I’m very pleased with the phone I received!! If you are looking for a new phone I would definitely take a chance on this one!","https://m.media-amazon.com/images/I/519idF2KKYL._SY88.jpg","https://m.media-amazon.com/images/I/51IGeAsLuLL._SY88.jpg","https://m.media-amazon.com/images/I/614v5tQumaL._SY88.jpg","https://m.media-amazon.com/images/I/617B2LxMWbL._SY88.jpg","https://m.media-amazon.com/images/I/61H5kWNEi1L._SY88.jpg","https://m.media-amazon.com/images/I/61Oi2ZjN-HL._SY88.jpg","https://m.media-amazon.com/images/I/61mltF1T0UL._SY88.jpg","https://m.media-amazon.com/images/I/61ts-5XURAL._SY88.jpg","https://m.media-amazon.com/images/I/61V-GGzzNGL._SY88.jpg","https://m.media-amazon.com/images/I/61mRmUKKyQL._SY88.jpg","https://m.media-amazon.com/images/I/61jOgEDdPAL._SY88.jpg","https://m.media-amazon.com/images/I/61lP0PBDEAL._SY88.jpg","3 people found this helpful","Great phone","https://www.amazon.com/gp/customer-reviews/R3PYNGD7465WTF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on March 15, 2023","Service Provider: UnlockedColor: BlueSize: 128GB"
